id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-01-11T06:16:29;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-01-11T01:16:49;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-01-11T03:25:51;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-01-10T20:10:16;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-01-11T11:33:22;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-01-10T22:55:28;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-01-11T01:52:00;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-01-10T15:54:39;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-01-10T18:44:15;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-01-10T19:26:40;601;74069
